geo-location;{"country":"CO","region":"DC"};demo.guru99.com;/;Sat Dec 18 11:29:00 COT 2021;false
ccpa-dau;true;demo.guru99.com;/;Sat Dec 18 11:29:01 COT 2021;false
usprivacy;1---;demo.guru99.com;/;Wed Jan 11 11:29:00 COT 2023;false
_pbjs_userid_consent_data;6683316680106290;demo.guru99.com;/;Sun Jan 16 11:29:01 COT 2022;false
_ga;GA1.2.1570936189.1639758540;.guru99.com;/;Sun Dec 17 11:29:01 COT 2023;false
_gat_gtag_UA_1248015_24;1;.guru99.com;/;Fri Dec 17 11:29:59 COT 2021;false
Selenium;abc123;demo.guru99.com;/test/cookie;null;false
_pubcid;441d23f7-d7f0-452a-bacd-b62857a3c647;demo.guru99.com;/;Sun Jan 16 11:29:00 COT 2022;false
_gid;GA1.2.1661390909.1639758540;.guru99.com;/;Sat Dec 18 11:29:01 COT 2021;false
